fecha;total
2024-01-31;2468872
2024-01-30;2114269
2024-01-29;2101526
2024-01-28;988568
2024-01-27;1311123
2024-01-26;1967664
2024-01-25;2057254
2024-01-24;1876073
2024-01-23;1778301
2024-01-22;1996049
2024-01-21;1013954
2024-01-20;1428182
2024-01-19;2521165
2024-01-18;1974689
2024-01-17;2219464
2024-01-16;2366171
2024-01-15;2534309
2024-01-14;982826
2024-01-13;1304193
2024-01-12;1966349
2024-01-11;1807948
2024-01-10;1372345
2024-01-09;1496296
2024-01-08;1880036
2024-01-07;868666
2024-01-06;1219461
2024-01-05;2041473
2024-01-04;2180995
2024-01-03;2006222
2024-01-02;2383865
2024-01-01;627776
Total;54856084
;
"Filtros aplicados: 
nom_mes es ENE
anio es 2024
tipo es R o E";
