fecha;total
31/1/2024;2468872
30/1/2024;2114269
29/1/2024;2101526
28/1/2024;988568
27/1/2024;1311123
26/1/2024;1967664
25/1/2024;2057254
24/1/2024;1876073
23/1/2024;1778301
22/1/2024;1996049
21/1/2024;1013954
20/1/2024;1428182
19/1/2024;2521165
18/1/2024;1974689
17/1/2024;2219464
16/1/2024;2366171
15/1/2024;2534309
14/1/2024;982826
13/1/2024;1304193
12/1/2024;1966349
11/1/2024;1807948
10/1/2024;1372345
9/1/2024;1496296
8/1/2024;1880036
7/1/2024;868666
6/1/2024;1219461
5/1/2024;2041473
4/1/2024;2180995
3/1/2024;2006222
2/1/2024;2383865
1/1/2024;627776
