fecha;emisor;total
2024-03-06;ESANCHEZ;17
2024-01-24;SIERRACENTRBATCH;69
2024-01-15;PMILESOTP;6582
2024-01-07;ALDEAMO2;6
2024-03-23;COOPCENTRO;99
2024-01-14;COACPROVIDA;24
2024-01-16;COACAMARABOL;9
2024-01-04;SOLCAUIO;7
2024-02-24;BANFINCA;48
2024-02-28;BMACHALACB;258
2024-01-21;COPSIERRACENTRO;25
2024-03-04;SAGRARIO;5808
2024-03-24;COOP11JUN;621
2024-02-04;COOPLDVALLE;224
2024-04-04;COACCREDIYA;156
2024-02-06;COOPGUALAQUIZA;1285
2024-03-09;DEPRATISFTP;80
2024-02-23;COACLUCAMECLIP;356
2024-02-09;PROTRAMITES;17093
2024-03-29;INNOVIX;174
2024-02-14;COACEDULOJA;290
2024-01-31;SWEADENSEGUROS;305
2024-03-30;CanalDigitalBDP;18802
2024-02-09;MUTUAMBATOEC;255
2024-01-11;PAGUEYA;907
2024-03-21;CCSTAROSA;1328
2024-01-16;COACNJERUSALEN;1
2024-03-07;PRODUBANCO;196334
2024-01-18;ALYGUTAY;490
2024-02-15;BGROTP;144
2024-03-05;COOP15ABRIL;5026
2024-02-05;SaviaHTPPBulk;174
2024-03-06;COOPLDVALLE;131
2024-02-09;COACOSCUSBATCH;4
2024-02-12;COACIMBABURAPAK;119
2024-04-04;COACSANFRANWS;134
2024-01-14;CELERITYALD;1944
2024-03-20;BUDGET;20
2024-03-11;MSPCITAS;27517
2024-02-28;FIDEVALFONDOS;64
2024-03-27;BGMKT;29682
2024-02-28;MUTUAMBATOEC;322
2024-03-25;COACANDESLAT;2
2024-01-10;ECUABULK;187
2024-03-16;COACRECERWINARI;19
2024-02-27;BANRED;13
2024-01-22;BGMKTHUB;2209
2024-01-11;COOP4OCT;764
2024-02-02;COACPROVIDA;65
2024-03-12;COACVISANDES;256
2024-04-01;COACSANISIDRO;17
2024-02-12;GEANOTIFICACION;1230
2024-02-08;SIGMADENTAL;34
2024-02-19;CCSTAROSA;1266
2024-02-16;COACNJERUSALEN;2
2024-03-25;CACSPMEC;1661
2024-03-14;COAC289;80
2024-01-18;ALESSAPAGOS;134
2024-01-15;COOPDIFARE;277
2024-01-16;ALESSACC;1420
2024-01-30;EMAGIC;11
2024-03-15;COOP11JUNBATCH;663
2024-01-15;MASIVA;9295
2024-01-28;BANCOCAPITAL;16
2024-02-14;COOPPEDROMONCAYO;882
2024-02-27;CACEBCE;44
2024-02-05;PRODUBANCO;530131
2024-02-09;COPSIERRACENTRO;34
2024-01-28;UANATACA;306
2024-02-18;COACYANTZAZA;830
2024-02-04;novacuenca;5
2024-03-03;COAC11JUN;676
2024-03-03;COOPMAQUITA;119
2024-01-16;Autoconsa;505
2024-01-07;COACCREDISOCIO;2
2024-01-26;COACLUCAMBATCH;1197
2024-01-25;COOPCOCA;605
2024-01-16;ONLYCONTROL;116
2024-01-28;PACIFICO;15789
2024-02-06;COOPAMBATOEC;2690
2024-03-04;COACLAMANENSE;23
2024-03-04;COACPROVIDA;415
2024-03-06;COACOORCOTOPAXI;32
2024-02-20;coaccrea;8561
2024-03-14;GEANOTIFICACION;10904
2024-03-23;ECOTEC;32
2024-02-02;COACINTICOOP;14
2024-03-12;COOPFORTUNA;81
2024-03-16;MUSHUCRUNA;2366
2024-03-10;coaccrea;4286
2024-02-15;MASIVA;16328
2024-01-10;COACPMVEGA;2568
2024-01-20;COOP11JUN;957
2024-03-21;DINERSOTP;3862
2024-03-21;COOP23JUL;4849
2024-04-04;COAC9OC;1260
2024-03-29;FODEMI;127
2024-01-03;COACAUSTRO;230
2024-01-12;PACIFICOTP;116216
2024-01-31;COACCREDIYA;167
2024-03-09;MTIMBABURA;628
2024-03-11;ALDEAMO2;133261
2024-03-21;SWEADENSEGUROS;361
2024-03-28;MAMBATOALD;148
2024-03-14;COACPASTAZA;906
2024-01-15;PNACALRTS;5252
2024-01-26;CNACIONALPRB;16
2024-01-04;COACLUCAMECLIP;430
2024-02-19;COACSANANTONIO;547
2024-03-06;COACNJERUSALEN;14
2024-03-25;COACTENANOTI;81
2024-01-09;COACSTANITA;938
2024-01-06;COOPJARAMILLO;963
2024-03-08;VISUALTRACK;2
2024-01-30;COOPAUSTROEC;578
2024-02-14;COACSANFRANWS;198
2024-01-26;KUNANSOFT;9
2024-04-02;COACIMBABURAPAK;268
2024-03-21;COOPMEGOEC;28107
2024-03-26;SaviaHTPPBulk;188
2024-01-16;COOPLDVALLE;2523
2024-01-09;FIDEVALFONDOS;3
2024-02-06;ALYGUTAY;283
2024-02-27;SEGUSUAREZ;19
2024-03-09;COACSANANTONIO;204
2024-01-21;MSPCITAS;33838
2024-03-18;COACSRGIRON;253
2024-03-22;USERPOSPRD;1798
2024-03-14;COACIMBABURAPAK;379
2024-03-01;COOP4OCT;1249
2024-02-26;MUSHUCRUNA;3142
2024-01-22;COACVISANDES;292
2024-03-24;AldeamoOTP;4118
2024-03-06;COACTENANOTI;97
2024-01-20;genesis;103
2024-02-05;ASISKEN;315
2024-01-03;PRODUBANCO;308800
2024-01-29;COACPMVEGA;3355
2024-01-17;COOP23JUL;5855
2024-01-13;COACMOLINO;8
2024-03-20;GRUPASAOTP;884
2024-01-08;REGISTROPGYE;1434
2024-03-04;COACSANFRANWS;171
2024-03-02;COOPMEGOEC;27089
2024-03-27;COACRIOBAMBA;2350
2024-03-04;GONETAPP;25
2024-03-04;ALYGUTAY2;408
2024-03-24;DIRECTVTMW;155
2024-02-09;Farletza;5
2024-02-19;BLOJA;73405
2024-02-13;COACEDUCOTOPAXI;74
2024-03-05;MASIVA;7576
2024-02-12;PACIFICOATM;84906
2024-03-18;BANCOCAPITAL;62
2024-03-26;PRODUBANCO;188271
2024-01-26;MUSHUCRUNA;2815
2024-01-01;COOPANTORIOSMKT;174
2024-03-27;COOPAMBATOEC;1961
2024-01-14;HOSPAMB;176
2024-03-19;CNACIONAL;5940
2024-01-01;CACPEZAMORA;1509
2024-03-02;DEPRATIFD;28
2024-01-31;CARTOPEL;2890
2024-02-14;CLUBMILES;2
2024-01-24;geanotificacion;7671
2024-02-04;RESP_AUTO_3600;6
2024-02-19;CARTOPEL;2746
2024-02-26;AMAGUA;3826
2024-01-31;COAC9OC;1720
2024-02-26;DIPASO;28
2024-03-16;KUNANSOFT;1
2024-01-05;COAC289;135
2024-01-31;COOP23JUL;6882
2024-04-02;COACPASTAZA;2133
2024-03-14;SICCEC;13706
2024-02-17;COOPMEGOEC;21816
2024-02-08;FODEMI;399
2024-03-21;COOPSANJOSE;1271
2024-02-02;CORPOCEN;2425
2024-02-27;DEPRATI;269
2024-04-03;COACEDUCOTOPAXI;170
2024-03-21;COACCREDIYA;126
2024-03-17;COACECH;184
2024-03-05;PNACALRTS;4206
2024-03-20;COOPAUSTROEC;432
2024-01-27;SERVIENTREGAGYE;15838
2024-03-13;andinave;878
2024-01-09;RSAGRUPO;2
2024-01-20;COACECH;417
2024-01-24;COACCREDIYA;150
2024-02-01;COACMAQUITAC;131
2024-03-11;VIELECSA;58
2024-02-17;KFCCORP;26
2024-03-17;DRIVIN;3
2024-02-21;COACSANTAISABEL;421
2024-02-21;CLUBMILES;523
2024-01-20;COACVENCEDORES;16
2024-03-23;DISCOVEROTP;394
2024-01-19;KUNANSOFT;13
2024-01-21;HOSPAMB;187
2024-03-20;Autoconsa;651
2024-02-26;COOPHUANCAVILCA;1393
2024-03-14;COOPSTANA;1826
2024-01-19;BBPROD;109787
2024-01-26;ALDEAMO;19188
2024-03-04;GEOMIL;87
2024-03-07;SIERRACENTRBATCH;132
2024-03-28;CACPECOCR;83
2024-02-20;WABRAVO;12
2024-03-14;SWEADENSEGUROS;310
2024-02-26;COACSANMIGUEL;650
2024-03-31;BVISIONFUND;272
2024-03-24;SERVIENTREGAGYE;249
2024-01-16;BGMKT;22178
2024-02-06;COOPPROVIDA;29
2024-03-31;RESP_AUTO_2424;4
2024-01-12;COOPCENTRO;75
2024-01-08;PNACALRTS;5844
2024-01-15;COACCHONE;1455
2024-01-28;ALDEPRATI;73
2024-02-14;AUCONSIS;167
2024-02-07;COACSANTONCO;357
2024-01-29;PAYPHONEPROD;2334
2024-03-25;COACSUMAKKAWSAY;186
2024-01-21;COOPSANFRANCIS;1934
2024-01-12;COOPORDESEG;25
2024-01-12;COACRECERWINARI;47
2024-02-14;COOPAMBATO;4257
2024-03-26;COACUNIONEJIDO;115
2024-03-20;COOPPROVIDA;43
2024-02-01;UCASAGRANDE;127
2024-01-03;COACATAHUALPA;299
2024-03-01;ECLIPFIRMADIG;320
2024-02-19;COOPANDINA;1035
2024-01-11;COOPPUELLARO;564
2024-01-24;MAMBATOALD;184
2024-02-05;COACMUJERESUCOO;37
2024-02-06;SOFTSIERRA;50
2024-01-04;MARCABELI;105
2024-03-18;CELERITYALD;3089
2024-03-05;CACPEZAMORA;3423
2024-02-09;DEPRATIMONITOR;1
2024-01-02;COACTENANOTI;172
2024-01-24;COACALIANZA;257
2024-03-06;COACPASTAZACOO;3619
2024-03-21;COACGUARANDA;666
2024-02-11;RESP_AUTO_3600;1
2024-01-20;DIRECTVTMW;79
2024-03-25;RETAILID4;192
2024-03-03;COOPCREDIL;17
2024-02-06;REGPROGYE;3
2024-01-18;USERPOSPRD;1684
2024-01-13;genesis;89
2024-02-20;COACEDUTUNG;175
2024-03-18;PACIFICOBAJA;35994
2024-02-27;PNACALRTS;4477
2024-02-07;COMQUEL;3
2024-01-23;COACPASTAZACOO;3307
2024-01-29;DEPRATIBOT;146
2024-01-03;COOPEDUZAMORA;18
2024-01-10;GACELAOTP;10
2024-01-14;COACSRGIRON;89
2024-01-25;INNOVIX;2207
2024-02-20;COACLUCAM;571
2024-03-20;COACAMARABOL;3
2024-03-05;FUNDEMIRO;87
2024-01-26;COACFERDAQUILEMA;7441
2024-02-05;COACTULCAN;9542
2024-03-17;CORPOCENOTP;2
2024-01-15;CACPECO;3755
2024-03-18;ALDEAMO2;39586
2024-02-26;CREDITOSECON;1871
2024-02-26;GONETAPP;17
2024-03-04;RESP_AUTO_1231;123
2024-03-23;COACLOJA;212
2024-04-01;LESCOMM;907
2024-01-15;OMNISWITCH;3184
2024-01-26;COOPANTORCHA;173
2024-01-28;MSPCITAS;34142
2024-02-17;COONECTA;21
2024-02-22;URBANOEXP;4588
2024-01-08;COACLUCAM;1005
2024-01-29;MARATHON;1089
2024-01-15;REGISTROPGYE;1170
2024-02-05;COACDAQUILEMAMSV;5271
2024-02-09;COACLOJA;352
2024-03-28;ecuaauto;198
2024-03-31;COACOSCUS;4139
2024-02-09;COOPSJCUENCA;52
2024-01-30;SOFTSIERRA;85
2024-01-27;DRIVIN;1968
2024-02-13;COOPAMBATOEC;1350
2024-03-07;COACATAHUALPA;361
2024-03-19;REGISTROPGYE;1315
2024-02-06;CAJAKONTAY;4
2024-01-23;andinave;466
2024-04-04;COACUNIONPOPULAR;7
2024-01-24;SICCEC;1889
2024-03-16;DISCOVEROTP;683
2024-03-12;MUTUAMBATO;59
2024-01-17;SIERRACENTRBATCH;126
2024-01-12;MISUEC;367
2024-02-24;KFCCORP;24
2024-02-08;COACMAQUITAC;155
2024-01-10;COOPSTANA;1158
2024-02-15;COACPASTAZA;1317
2024-04-04;BMACHALAPROD;10011
2024-02-21;COOPFDEASIS;66
2024-03-27;Autoconsa;752
2024-03-27;CTHECUADOR;424
2024-01-25;LINKS;1
2024-03-05;DEPRATI;236
2024-01-08;COACCHONE;1423
2024-01-16;RSAGRUPO;5
2024-03-04;COOPHUANCAVILCA;1730
2024-03-06;mariscal;9
2024-02-07;COOPAMBATO;2232
2024-03-18;REPSOL;9
2024-02-10;BVISIONFUND;239
2024-01-14;COOPSANFRANCIS;1877
