fecha;total
31/12/2023;1105170
30/12/2023;1444946
29/12/2023;2334644
28/12/2023;2877292
27/12/2023;1865999
26/12/2023;2044999
25/12/2023;699736
24/12/2023;1033833
23/12/2023;1456941
22/12/2023;2198659
21/12/2023;2616604
20/12/2023;2573955
19/12/2023;2324870
18/12/2023;2639881
17/12/2023;1131877
16/12/2023;1621247
15/12/2023;2683216
14/12/2023;2230891
13/12/2023;1959057
12/12/2023;2173901
11/12/2023;2126918
10/12/2023;979518
9/12/2023;1263670
8/12/2023;1851099
7/12/2023;2351150
6/12/2023;2381792
5/12/2023;2274652
4/12/2023;2343284
3/12/2023;1083487
2/12/2023;1608800
1/12/2023;2476848
30/11/2023;2327020
29/11/2023;2024653
28/11/2023;1942379
27/11/2023;1885625
26/11/2023;904571
25/11/2023;1363440
24/11/2023;2130431
23/11/2023;2419869
22/11/2023;2046905
21/11/2023;2038599
20/11/2023;1996639
19/11/2023;907177
18/11/2023;1231814
17/11/2023;2007951
16/11/2023;2277703
15/11/2023;2132307
14/11/2023;1917250
13/11/2023;1767085
12/11/2023;881981
11/11/2023;1155836
10/11/2023;2144724
9/11/2023;1976023
8/11/2023;2091918
7/11/2023;2065997
6/11/2023;2264186
5/11/2023;917289
4/11/2023;994835
3/11/2023;1108935
2/11/2023;1340812
1/11/2023;2490184
31/10/2023;2356707
30/10/2023;1828034
29/10/2023;845459
28/10/2023;1061179
27/10/2023;1846688
26/10/2023;1816905
25/10/2023;1918956
24/10/2023;1767880
23/10/2023;1702137
22/10/2023;814634
21/10/2023;1149002
20/10/2023;2154628
19/10/2023;2380910
18/10/2023;1756017
17/10/2023;1915227
16/10/2023;2110669
15/10/2023;856187
14/10/2023;1288410
13/10/2023;2128540
12/10/2023;1869775
11/10/2023;1827239
10/10/2023;1875457
9/10/2023;1001837
8/10/2023;776902
7/10/2023;1272982
6/10/2023;2077263
5/10/2023;2172134
4/10/2023;2136816
3/10/2023;2106619
2/10/2023;2442052
1/10/2023;1055572
30/9/2023;1591473
29/9/2023;2135934
28/9/2023;1999223
27/9/2023;1832860
26/9/2023;1704708
25/9/2023;1802362
24/9/2023;813807
23/9/2023;1046397
22/9/2023;2038254
21/9/2023;1795129
20/9/2023;2057698
19/9/2023;1745226
18/9/2023;2019876
17/9/2023;882023
16/9/2023;1304285
15/9/2023;2240403
14/9/2023;1783032
13/9/2023;1698553
12/9/2023;1574544
11/9/2023;1747683
10/9/2023;806072
9/9/2023;1145128
8/9/2023;2123281
7/9/2023;1704621
6/9/2023;2119112
5/9/2023;2062304
4/9/2023;2117287
3/9/2023;969373
2/9/2023;1348126
1/9/2023;2235600
31/8/2023;2267676
30/8/2023;1853112
29/8/2023;1872733
28/8/2023;1715200
27/8/2023;831977
26/8/2023;1128241
25/8/2023;1976196
24/8/2023;1634191
23/8/2023;1670880
22/8/2023;1585633
21/8/2023;1653828
20/8/2023;782098
19/8/2023;1647478
18/8/2023;1948077
17/8/2023;1801920
16/8/2023;2096363
15/8/2023;2188153
14/8/2023;1788682
13/8/2023;751872
12/8/2023;928754
11/8/2023;1117079
10/8/2023;1830363
9/8/2023;1748675
8/8/2023;1751525
7/8/2023;1917194
6/8/2023;862514
5/8/2023;1252262
4/8/2023;2221664
3/8/2023;2205215
2/8/2023;1875312
1/8/2023;2228891
31/7/2023;2200001
30/7/2023;861323
29/7/2023;1254259
28/7/2023;1988979
27/7/2023;1674510
26/7/2023;1583082
25/7/2023;1505791
24/7/2023;1384508
23/7/2023;770012
22/7/2023;1112008
21/7/2023;1710411
20/7/2023;1921133
19/7/2023;1977655
18/7/2023;1821713
17/7/2023;2026907
16/7/2023;874508
15/7/2023;1274675
14/7/2023;1931848
13/7/2023;1754061
12/7/2023;1711898
11/7/2023;1678926
10/7/2023;1855654
9/7/2023;807412
8/7/2023;1144233
7/7/2023;1782002
6/7/2023;2004447
5/7/2023;2102907
4/7/2023;2202117
3/7/2023;2257036
2/7/2023;992876
1/7/2023;1478968
30/6/2023;2228765
29/6/2023;1863403
28/6/2023;1584014
27/6/2023;1494309
26/6/2023;1535981
25/6/2023;779471
24/6/2023;1028508
23/6/2023;1614641
22/6/2023;1812785
21/6/2023;1904506
20/6/2023;1713344
19/6/2023;1722013
18/6/2023;845490
17/6/2023;1254824
16/6/2023;2133632
15/6/2023;2025881
14/6/2023;1681566
13/6/2023;1604593
12/6/2023;1689775
11/6/2023;819845
10/6/2023;1155070
9/6/2023;2092575
8/6/2023;1837663
